2021-02-12 11:42:09.151196| CPU percent: 32.3 %
2021-02-12 11:42:19.315956| CPU percent: 33.3 %
2021-02-12 11:42:29.505014| CPU percent: 26.5 %
2021-02-12 11:42:39.660989| CPU percent: 21.0 %
2021-02-12 11:42:49.813180| CPU percent: 23.7 %
2021-02-12 11:43:00.015706| CPU percent: 32.5 %
2021-02-12 11:43:10.182048| CPU percent: 26.7 %
2021-02-12 11:43:20.406456| CPU percent: 29.9 %
2021-02-12 11:43:30.574139| CPU percent: 32.0 %
2021-02-12 11:43:40.747602| CPU percent: 33.6 %
2021-02-12 11:43:50.899183| CPU percent: 21.6 %
2021-02-12 11:44:01.050329| CPU percent: 22.7 %
